HX Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Arrive_Date
HX.1,22,4,0,0,0,0,99182,0,1939-09-16,1939-09-30
HX.2,19,4,0,0,0,0,93630,0,1939-09-23,1939-10-10
HX.3,27,3,0,0,0,0,131859,0,1939-09-30,1939-10-14
HX.3S,4,0,0,0,0,0,17868,0,1939-09-29,1939-10-14
HX.4,13,3,0,0,0,0,51562,0,1939-10-08,1939-10-22
HX.5,23,7,0,2,0,0,90517,12642,1939-10-17,1939-10-29
HX.6,65,9,0,0,0,0,375633,0,1939-10-25,1939-11-10
HX.7,35,5,0,0,0,0,176140,0,1939-11-02,1939-11-16
HX.8,38,3,0,0,0,0,222125,0,1939-11-10,1939-11-25
HX.9,34,3,0,0,0,0,209772,0,1939-11-18,1939-12-02
HX.10,37,4,0,0,0,0,215412,0,1939-11-26,1939-12-10
HX.11,55,10,0,0,0,0,253812,0,1939-12-04,1939-12-18
HX.12,43,6,0,0,0,0,241777,0,1939-12-12,1939-12-27
HX.13,34,7,1,0,0,0,168599,0,1939-12-20,1940-01-04
HX.14,48,8,0,1,0,0,235703,7267,1939-12-29,1940-01-12
HX.15,32,7,0,0,0,0,187424,0,1940-01-06,1940-01-19
HX.16,31,5,0,0,0,0,186942,0,1940-01-14,1940-01-28
HX.17,56,7,1,0,0,0,316315,0,1940-01-22,1940-02-07
HX.18,48,5,16,2,0,2,259966,14813,1940-01-31,1940-02-16
HX.19,52,7,0,1,0,0,271783,4996,1940-02-07,1940-02-22
HX.20,63,8,0,0,0,0,319388,0,1940-02-16,1940-03-04
HX.21,22,6,4,0,0,0,115667,0,1940-02-18,1940-03-04
HX.22,42,8,0,1,0,0,265253,5068,1940-02-22,1940-03-09
HX.23,33,5,0,0,0,0,197288,0,1940-02-26,1940-03-12
HX.24,48,8,17,0,0,0,276864,0,1940-03-02,1940-03-17
