OB Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Dispersed_Date
OB.1,5,2,0,0,0,0,22877,0,1939-09-07,1939-09-10
OB.2,5,2,0,0,0,0,22967,0,1939-09-09,1939-09-14
OB.3,7,4,0,0,0,0,21293,0,1939-09-11,1939-09-16
OB.4,12,2,0,0,0,0,77587,0,1939-09-13,1939-09-16
OB.5,20,3,0,0,0,0,98187,0,1939-09-16,1939-09-19
OB.6,7,2,1,0,0,0,28070,0,1939-09-17,1939-09-20
OB.7,17,3,0,0,0,0,102567,0,1939-09-19,1939-09-23
OB.8,13,2,0,0,0,0,58165,0,1939-09-21,1939-09-25
OB.9,21,2,0,0,0,0,90337,0,1939-09-23,1939-09-26
OB.10,13,2,0,0,0,0,75789,0,1939-09-25,1939-09-28
OB.11,15,2,0,0,0,0,98399,0,1939-09-27,1939-09-30
OB.12,19,2,0,0,0,0,61079,0,1939-09-29,
OB.13,33,2,0,0,0,0,166743,0,1939-10-01,1939-10-04
OB.14,8,2,0,0,0,0,37574,0,1939-10-03,1939-10-06
OB.15,12,2,0,0,0,0,55138,0,1939-10-05,1939-10-08
OB.16,21,2,0,0,0,0,96096,0,1939-10-08,
OB.17,18,2,1,1,0,1,83452,5202,1939-10-09,1939-10-12
OB.18,12,2,0,1,0,0,66074,3677,1939-10-11,1939-10-17
OB.19,12,2,0,0,0,0,54848,0,1939-10-13,1939-10-18
OB.20,23,2,0,0,0,0,99844,0,1939-10-16,
OB.21,16,2,0,0,0,0,84179,0,1939-10-17,1939-10-22
OB.22,16,2,0,0,0,0,95162,0,1939-10-19,1939-10-22
OB.23,14,2,0,0,0,0,80885,0,1939-10-21,1939-10-26
OB.24,28,2,0,0,0,0,123414,0,1939-10-25,
OB.25,21,2,0,1,0,0,129835,5317,1939-10-26,1939-10-30
OB.26,19,2,0,0,0,0,133064,0,1939-10-27,1939-11-01
OB.27,21,2,0,0,0,0,109098,0,1939-10-29,1939-11-03
OB.28,27,2,0,0,0,0,107618,0,1939-11-01,
OB.29,25,4,0,0,0,0,121586,0,1939-11-02,1939-11-07
OB.30,20,1,0,0,0,0,85261,0,1939-11-04,1939-11-09
OB.31,9,2,1,0,0,0,39316,0,1939-11-06,1939-11-11
OB.32,23,2,0,0,0,0,119366,0,1939-11-08,
OB.33,35,3,1,0,0,0,181786,0,1939-11-10,1939-11-15
OB.34,18,3,0,0,0,0,86394,0,1939-11-12,1939-11-18
OB.35,17,2,0,0,0,0,77876,0,1939-11-14,1939-11-19
OB.36,30,4,0,0,0,0,124595,0,1939-11-16,
OB.37,30,2,0,0,0,0,171856,0,1939-11-18,1939-11-21
OB.38,12,2,0,0,0,0,60545,0,1939-11-20,1939-11-23
OB.39,11,2,1,0,0,0,58464,0,1939-11-22,1939-11-25
OB.40,38,4,0,0,0,0,172836,0,1939-11-24,
OB.41,8,2,0,0,0,0,43645,0,1939-11-25,1939-11-28
OB.42,19,2,0,0,0,0,94311,0,1939-11-26,1939-12-01
OB.43,13,4,0,0,0,0,52047,0,1939-11-28,1939-12-04
OB.44,13,2,0,0,0,0,60954,0,1939-11-30,1939-12-03
OB.45,31,2,0,0,0,0,141484,0,1939-12-03,
OB.46,9,2,0,1,0,0,49474,8795,1939-12-03,1939-12-07
OB.47,24,2,0,0,0,0,121064,0,1939-12-04,1939-12-08
OB.48,16,2,1,2,0,1,78633,14065,1939-12-06,1939-12-10
OB.49,14,2,0,0,0,0,75627,0,1939-12-08,1939-12-12
OB.50,19,2,0,0,0,0,76613,0,1939-12-10,
OB.51,10,2,0,0,0,0,53572,0,1939-12-11,1939-12-14
OB.52,16,2,0,0,0,0,76470,0,1939-12-12,1939-12-17
OB.53,15,2,0,0,0,0,73141,0,1939-12-14,1939-12-19
OB.54,14,2,0,0,0,0,65059,0,1939-12-16,1939-12-19
OB.55,36,2,0,0,0,0,168086,0,1939-12-19,
OB.56,9,2,0,0,0,0,61295,0,1939-12-19,1939-12-21
OB.57,22,2,0,0,0,0,125504,0,1939-12-20,1939-12-23
OB.58,22,2,0,0,0,0,106446,0,1939-12-22,1939-12-26
OB.59,24,2,0,0,0,0,129740,0,1939-12-24,1939-12-28
OB.60,33,2,0,0,0,0,171338,0,1939-12-26,
OB.62,16,3,0,0,0,0,69480,0,1939-12-28,1939-12-31
OB.63,3,0,0,0,0,0,19430,0,1939-12-30,
OB.64,24,2,0,0,0,0,112979,0,1940-01-01,1940-01-05
OB.65,19,0,0,0,0,0,83061,0,1940-01-04,
OB.66,7,2,0,0,0,0,34156,0,1940-01-04,1940-01-06
OB.67,18,2,0,0,0,0,95088,0,1940-01-05,1940-01-09
OB.68,29,2,0,0,0,0,162670,0,1940-01-08,
OB.69,18,2,0,0,0,0,86467,0,1940-01-09,1940-01-13
OB.70,40,2,0,0,0,0,194905,0,1940-01-11,
OB.71,14,0,0,0,0,0,72815,0,1940-01-12,1940-01-16
OB.72,17,2,0,0,0,0,72098,0,1940-01-16,1940-01-18
OB.73,15,0,0,0,0,0,97920,0,1940-01-16,
OB.74,18,2,0,1,0,0,90559,5494,1940-01-17,1940-01-20
OB.75,37,2,0,0,0,0,157207,0,1940-01-19,
OB.76,15,2,1,0,0,0,67182,0,1940-01-20,1940-01-23
OB.77,12,2,0,0,0,0,48753,0,1940-01-21,1940-01-24
OB.78,13,0,0,0,0,0,91885,0,1940-01-24,1940-01-27
OB.79,20,2,0,0,0,0,113540,0,1940-01-25,1940-01-28
OB.80,22,2,0,0,0,0,105585,0,1940-01-27,
OB.81,13,2,0,0,0,0,67482,0,1940-01-28,1940-01-31
OB.82,15,2,0,0,0,0,73336,0,1940-01-29,1940-02-02
OB.83,20,2,0,0,0,0,90137,0,1940-02-01,
OB.84,23,2,0,0,0,0,131269,0,1940-02-02,1940-02-05
OB.85,2,0,0,0,0,0,10648,0,1940-02-04,
OB.86,23,2,0,0,0,0,123592,0,1940-02-07,1940-02-10
OB.87,12,2,0,0,0,0,57581,0,1940-02-07,1940-02-10
OB.88,20,2,0,0,0,0,118809,0,1940-02-09,
OB.89,17,2,0,0,0,0,72820,0,1940-02-10,1940-02-14
OB.90,28,0,0,0,0,0,123197,0,1940-02-13,
OB.91,15,2,0,0,0,0,81643,0,1940-02-13,1940-02-17
OB.92,15,2,0,0,0,0,88200,0,1940-02-15,1940-02-18
OB.93,23,0,0,0,0,0,143579,0,1940-02-17,
OB.94,24,2,0,0,0,0,134741,0,1940-02-18,1940-02-22
OB.95,24,0,0,0,0,0,121805,0,1940-02-21,
OB.96,13,2,0,0,0,0,67587,0,1940-02-21,1940-02-24
OB.97,16,2,0,0,0,0,68315,0,1940-02-23,1940-02-27
OB.98,23,2,0,0,0,0,121555,0,1940-02-24,
OB.99,19,2,0,0,0,0,105846,0,1940-02-26,1940-03-01
OB.100,18,0,0,0,0,0,85099,0,1940-02-28,
OB.101,15,2,0,0,0,0,75695,0,1940-02-29,1940-03-03
OB.102,9,2,0,0,0,0,36256,0,1940-03-02,1940-03-06
OB.103,30,2,0,0,0,0,147893,0,1940-03-03,
OB.104,24,2,0,0,0,0,141336,0,1940-03-05,1940-03-08
OB.105,17,2,0,0,0,0,56987,0,1940-03-09,
OB.106,22,2,0,0,0,0,128245,0,1940-03-08,1940-03-11
OB.107,13,2,0,0,0,0,65903,0,1940-03-10,1940-03-15
OB.108,28,0,0,0,0,0,126729,0,1940-03-12,
OB.109,18,2,0,0,0,0,67647,0,1940-03-13,1940-03-16
OB.110,33,2,0,0,0,0,119753,0,1940-03-16,
OB.111,18,2,0,0,0,0,84504,0,1940-03-16,1940-03-20
OB.112,15,2,0,0,0,0,73561,0,1940-03-18,1940-03-23
OB.113,25,0,0,0,0,0,125931,0,1940-03-19,
OB.114,23,2,0,0,0,0,118035,0,1940-03-21,1940-03-25
OB.115,31,3,0,0,0,0,134079,0,1940-03-23,
OB.116,23,3,1,0,0,0,105914,0,1940-03-24,1940-03-27
OB.118,3,0,0,0,0,0,12276,0,1940-03-27,
OB.119,23,2,0,0,0,0,119491,0,1940-03-29,1940-04-01
OB.120,45,1,0,0,0,0,240845,0,1940-03-31,
OB.121,16,2,0,0,0,0,98628,0,1940-04-01,1940-04-04
OB.123,33,0,0,0,0,0,174527,0,1940-04-04,
OB.124,29,2,0,0,0,0,159081,0,1940-04-06,1940-04-10
OB.125,28,1,0,0,0,0,122887,0,1940-04-08,
OB.126,19,3,0,0,0,0,88208,0,1940-04-09,1940-04-13
OB.127,19,2,0,0,0,0,106388,0,1940-04-10,1940-04-14
OB.128,33,0,0,0,0,0,177354,0,1940-04-13,
OB.129,32,1,0,0,0,0,173670,0,1940-04-14,1940-04-18
OB.130,25,1,0,0,0,0,115471,0,1940-04-16,
OB.131,17,1,0,0,0,0,96500,0,1940-04-17,1940-04-21
OB.132,13,1,0,0,0,0,69117,0,1940-04-18,1940-04-22
OB.133,38,2,0,0,0,0,202194,0,1940-04-20,
OB.134,28,1,0,0,0,0,142403,0,1940-04-22,1940-04-26
OB.135,34,0,0,0,0,0,155297,0,1940-04-24,
OB.136,19,1,0,0,0,0,103163,0,1940-04-25,1940-04-28
OB.137,9,1,0,0,0,0,38668,0,1940-04-26,1940-04-29
OB.138,30,1,0,0,0,0,164039,0,1940-04-28,
OB.139,26,1,0,0,0,0,145556,0,1940-04-30,1940-05-03
OB.140,30,1,0,0,0,0,147308,0,1940-05-02,
OB.141,17,1,0,0,0,0,86138,0,1940-05-03,1940-05-06
OB.142,15,1,0,0,0,0,86193,0,1940-05-04,1940-05-08
OB.143,33,2,0,0,0,0,147924,0,1940-05-06,
OB.144,23,1,0,0,0,0,111017,0,1940-05-08,1940-05-12
OB.145,31,0,0,0,0,0,158646,0,1940-05-10,
OB.146,10,1,0,0,0,0,49548,0,1940-05-11,1940-05-13
OB.147,25,1,1,0,0,0,128443,0,1940-05-12,1940-05-14
OB.148,9,0,0,0,0,0,57019,0,1940-05-14,
OB.149,22,1,0,0,0,0,109988,0,1940-05-16,1940-05-17
OB.150,26,1,0,0,0,0,124401,0,1940-05-18,
OB.151,26,1,0,0,0,0,132021,0,1940-05-19,1940-05-22
OB.152,7,1,0,0,0,0,29169,0,1940-05-20,1940-05-24
OB.153,39,2,0,0,0,0,166674,0,1940-05-22,
OB.154,13,1,0,0,0,0,76700,0,1940-05-24,1940-05-28
OB.155,35,2,0,0,0,0,148894,0,1940-05-26,
OB.156,12,1,0,0,0,0,66346,0,1940-05-27,1940-05-31
OB.157,10,1,0,0,0,0,51406,0,1940-05-28,1940-05-31
OB.158,30,1,0,0,0,0,157854,0,1940-05-30,
OB.159,24,1,0,0,0,0,133159,0,1940-06-01,1940-06-04
OB.160,13,1,0,0,0,0,59100,0,1940-06-02,1940-06-05
OB.161,25,0,0,0,0,0,127023,0,1940-06-03,
OB.162,31,1,0,0,0,0,166272,0,1940-06-05,1940-06-08
OB.163,33,1,0,0,0,0,183062,0,1940-06-08,1940-06-13
OB.164,32,1,0,0,0,0,161803,0,1940-06-09,1940-06-12
OB.165,9,1,0,0,0,0,48166,0,1940-06-10,1940-06-14
OB.166,23,2,0,0,0,0,99674,0,1940-06-11,
OB.167,30,1,0,0,0,0,167300,0,1940-06-13,1940-06-17
OB.168,23,0,0,0,0,0,151902,0,1940-06-15,
OB.169,34,1,0,0,0,0,182070,0,1940-06-17,1940-06-22
OB.170,17,1,0,0,0,0,95360,0,1940-06-18,1940-06-23
OB.171,18,1,0,0,0,0,88388,0,1940-06-19,
OB.172,49,2,0,0,0,0,253141,0,1940-06-22,1940-06-26
OB.173,10,1,1,0,0,0,24450,0,1940-06-24,
OB.174,65,1,1,1,0,1,325297,4421,1940-06-25,1940-06-30
OB.175,44,1,0,0,0,0,208360,0,1940-06-27,1940-06-30
OB.176,30,2,0,1,0,0,157413,8999,1940-06-29,1940-07-02
OB.177,22,1,0,0,0,0,74248,0,1940-07-01,
OB.178,51,2,0,0,0,0,256347,0,1940-07-03,1940-07-07
OB.179,29,2,0,0,0,0,146404,0,1940-07-05,1940-07-09
OB.180,43,7,0,0,0,0,167074,0,1940-07-07,1940-07-10
OB.181,18,2,0,0,0,0,41748,0,1940-07-10,
OB.182,31,1,0,0,0,0,152388,0,1940-07-11,1940-07-14
OB.183,47,2,0,0,0,0,232725,0,1940-07-13,1940-07-17
OB.184,33,2,0,0,0,0,164578,0,1940-07-15,1940-07-18
OB.186,51,2,0,0,0,0,269451,0,1940-07-20,1940-07-22
OB.187,43,2,0,0,0,0,218819,0,1940-07-21,1940-07-25
OB.188,38,3,0,4,0,0,173171,29320,1940-07-23,1940-07-27
OB.190,55,2,0,0,0,0,297828,0,1940-07-27,1940-07-31
OB.191,31,3,0,1,0,0,146127,6322,1940-07-30,1940-08-02
OB.192,37,3,0,0,0,0,166299,0,1940-07-31,1940-08-04
OB.193,39,2,0,1,0,0,178100,5408,1940-08-04,1940-08-07
OB.194,32,3,0,0,0,0,166266,0,1940-08-06,1940-08-10
OB.195,30,3,0,0,0,0,151207,0,1940-08-08,1940-08-12
OB.196,27,4,0,0,0,0,111205,0,1940-08-10,1940-08-15
OB.197,55,2,0,2,0,0,298011,8953,1940-08-13,1940-08-16
OB.198,29,3,0,1,0,0,130176,4397,1940-08-15,1940-08-18
OB.199,29,6,0,0,0,0,130956,0,1940-08-16,1940-08-20
OB.200,22,4,0,0,0,0,65856,0,1940-08-18,1940-08-22
OB.201,31,2,1,1,0,1,153338,3774,1940-08-20,1940-08-25
OB.202,31,3,0,2,0,0,145930,16620,1940-08-22,1940-08-26
OB.203,33,4,0,0,0,0,191879,0,1940-08-24,1940-08-28
OB.204,46,8,2,2,0,2,190268,8476,1940-08-26,1940-08-29
OB.205,33,1,1,4,0,1,190253,15621,1940-08-29,1940-08-30
OB.206,43,8,0,1,0,0,189723,4261,1940-08-31,1940-09-05
OB.207,23,4,0,0,0,0,83769,0,1940-09-01,1940-09-06
OB.208,18,4,0,0,0,0,62999,0,1940-09-03,1940-09-07
OB.209,48,7,0,0,0,0,216877,0,1940-09-05,1940-09-09
OB.210,33,4,0,0,0,0,158219,0,1940-09-08,1940-09-10
OB.211,21,3,0,0,0,0,106854,0,1940-09-10,1940-09-13
OB.212,25,5,0,0,0,0,98364,0,1940-09-11,1940-09-16
OB.213,24,3,0,2,0,0,119181,16169,1940-09-13,1940-09-18
OB.214,30,3,0,0,0,0,165812,0,1940-09-15,1940-09-18
OB.215,28,5,0,0,0,0,120922,0,1940-09-17,1940-09-21
OB.216,46,6,1,5,0,1,202279,41339,1940-09-19,1940-09-23
OB.217,42,4,0,5,0,0,217358,29066,1940-09-21,1940-09-25
OB.218,27,7,1,5,1,1,129432,26139,1940-09-24,1940-09-29
OB.219,30,5,0,1,0,0,149895,3278,1940-09-25,1940-09-30
OB.220,36,5,1,2,0,1,146133,7105,1940-09-27,1940-10-01
OB.221,40,10,0,0,0,0,177904,0,1940-09-29,1940-10-03
OB.222,50,6,0,2,0,0,220026,12066,1940-10-01,1940-10-05
OB.223,30,5,0,0,0,0,160005,0,1940-10-03,1940-10-08
OB.224,33,7,1,1,0,1,106079,6589,1940-10-05,1940-10-12
OB.225,30,3,0,0,0,0,171025,0,1940-10-07,1940-10-10
OB.226,43,4,0,0,0,0,180170,0,1940-10-09,1940-10-12
OB.227,27,2,0,0,0,0,152474,0,1940-10-11,1940-10-15
OB.228,44,4,0,4,0,0,156561,12822,1940-10-13,1940-10-17
OB.229,37,7,0,2,0,0,171440,11199,1940-10-15,1940-10-18
OB.230,30,7,0,0,0,0,135073,0,1940-10-17,1940-10-20
OB.231,28,3,0,0,0,0,145150,0,1940-10-19,1940-10-23
OB.232,49,13,1,0,0,0,133451,0,1940-10-21,1940-10-26
OB.233,42,5,0,0,0,0,189994,0,1940-10-23,1940-10-27
OB.234,38,9,0,1,0,0,177613,3059,1940-10-24,1940-10-30
OB.235,32,6,1,1,0,0,154843,5168,1940-10-27,1940-10-31
OB.236,30,7,0,0,0,0,97884,0,1940-10-29,1940-11-02
OB.237,38,4,0,0,0,0,192866,0,1940-10-31,1940-11-02
OB.238,30,5,0,0,0,0,109779,0,1940-11-02,1940-11-05
OB.239,67,6,0,0,0,0,323545,0,1940-11-04,
OB.240,48,8,1,1,0,0,182963,5094,1940-11-08,1940-11-13
OB.241,47,6,0,0,0,0,239801,0,1940-11-09,1940-11-14
OB.242,49,8,0,0,0,0,220597,0,1940-11-11,1940-11-15
OB.243,33,6,0,0,0,0,135175,0,1940-11-13,1940-11-18
OB.244,51,8,2,6,1,2,181284,31739,1940-11-17,1940-11-22
OB.245,49,9,0,0,0,0,227152,0,1940-11-18,1940-11-22
