ON Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Dispersed/Arrival Date
ON.1,70.0,15.0,0.0,0.0,0.0,0.0,199896.0,0.0,1941-07-26,1941-08-09
ON.2,64.0,17.0,0.0,0.0,0.0,0.0,254741.0,0.0,1941-07-27,1941-08-08
ON.3,67.0,11.0,1.0,0.0,0.0,0.0,352437.0,0.0,1941-07-31,1941-08-14
ON.4,78.0,21.0,0.0,1.0,1.0,0.0,199904.0,925.0,1941-08-06,1941-08-18
ON.5,62.0,15.0,0.0,0.0,0.0,0.0,267350.0,0.0,1941-08-06,1941-08-14
ON.6,66.0,16.0,0.0,0.0,0.0,0.0,295545.0,0.0,1941-08-11,1941-08-24
ON.7,56.0,16.0,0.0,0.0,0.0,0.0,154412.0,0.0,1941-08-15,1941-08-25
ON.8,68.0,18.0,0.0,0.0,0.0,0.0,263181.0,0.0,1941-08-16,1941-08-25
ON.9,61.0,9.0,0.0,1.0,0.0,0.0,296175.0,1409.0,1941-08-20,1941-08-25
ON.10,90.0,16.0,0.0,0.0,0.0,0.0,299205.0,0.0,1941-08-27,1941-09-11
ON.11,83.0,19.0,3.0,0.0,0.0,0.0,462285.0,0.0,1941-08-30,1941-09-11
ON.12,62.0,20.0,0.0,0.0,0.0,0.0,196328.0,0.0,1941-09-01,1941-09-14
ON.13,53.0,11.0,1.0,0.0,0.0,0.0,273990.0,0.0,1941-09-05,1941-09-11
ON.14,58.0,10.0,3.0,3.0,0.0,2.0,230543.0,16477.0,1941-09-07,1941-09-14
ON.15,53.0,10.0,0.0,0.0,0.0,0.0,288091.0,0.0,1941-09-11,1941-09-16
ON.16,61.0,15.0,1.0,1.0,0.0,1.0,204092.0,1590.0,1941-09-13,1941-09-27
ON.17,62.0,18.0,0.0,0.0,0.0,0.0,287534.0,0.0,1941-09-17,1941-09-29
ON.18,44.0,15.0,1.0,0.0,0.0,0.0,208626.0,0.0,1941-09-19,1941-10-02
ON.19,64.0,16.0,7.0,3.0,0.0,3.0,218880.0,13503.0,1941-09-21,1941-10-07
ON.19A,7.0,4.0,0.0,1.0,0.0,0.0,17175.0,4652.0,1941-09-28,1941-10-04
ON.20,69.0,12.0,2.0,0.0,0.0,0.0,372365.0,0.0,1941-09-25,1941-10-09
ON.21,49.0,15.0,0.0,0.0,0.0,0.0,150795.0,0.0,1941-09-28,1941-10-14
ON.22,68.0,12.0,0.0,0.0,0.0,0.0,369433.0,0.0,1941-10-02,1941-10-15
ON.23,60.0,19.0,0.0,0.0,0.0,0.0,156235.0,0.0,1941-10-04,1941-10-19
ON.24,72.0,12.0,0.0,0.0,0.0,0.0,388645.0,0.0,1941-10-08,1941-10-15
ON.25,45.0,15.0,0.0,0.0,0.0,0.0,136247.0,0.0,1941-10-10,1941-10-24
ON.26,52.0,13.0,1.0,0.0,0.0,0.0,262217.0,0.0,1941-10-14,1941-10-29
ON.27,79.0,16.0,1.0,1.0,0.0,1.0,269934.0,3872.0,1941-10-16,1941-11-02
ON.28,69.0,19.0,2.0,0.0,0.0,0.0,296024.0,0.0,1941-10-20,1941-11-03
ON.29,63.0,27.0,3.0,0.0,0.0,0.0,154025.0,0.0,1941-10-22,1941-11-05
ON.30,66.0,13.0,0.0,0.0,0.0,0.0,327461.0,0.0,1941-10-26,1941-11-09
ON.31,59.0,16.0,1.0,0.0,0.0,0.0,176334.0,0.0,1941-10-28,1941-11-15
ON.32,64.0,13.0,1.0,0.0,0.0,0.0,366021.0,0.0,1941-11-01,1941-11-16
ON.33,77.0,17.0,1.0,0.0,0.0,0.0,266321.0,0.0,1941-11-03,1941-11-23
ON.34,65.0,17.0,0.0,0.0,0.0,0.0,321601.0,0.0,1941-11-07,1941-11-21
ON.35,59.0,16.0,1.0,0.0,0.0,0.0,177103.0,0.0,1941-11-09,1941-11-27
ON.36,62.0,15.0,0.0,0.0,0.0,0.0,332049.0,0.0,1941-11-13,1941-11-25
ON.37,61.0,14.0,0.0,0.0,0.0,0.0,209135.0,0.0,1941-11-15,1941-11-30
ON.38,52.0,15.0,0.0,0.0,0.0,0.0,245555.0,0.0,1941-11-19,1941-11-30
ON.39,63.0,18.0,0.0,0.0,0.0,0.0,194744.0,0.0,1941-11-21,1941-12-04
ON.40,60.0,14.0,0.0,0.0,0.0,0.0,277301.0,0.0,1941-11-25,1941-12-04
ON.41,55.0,14.0,0.0,0.0,0.0,0.0,176327.0,0.0,1941-11-27,1941-12-11
ON.42,60.0,10.0,0.0,0.0,0.0,0.0,353619.0,0.0,1941-12-01,1941-12-14
ON.43,38.0,14.0,0.0,0.0,0.0,0.0,105178.0,0.0,1941-12-03,1941-12-15
ON.44,48.0,9.0,0.0,0.0,0.0,0.0,246664.0,0.0,1941-12-07,1941-12-15
ON.45,30.0,7.0,0.0,0.0,0.0,0.0,106865.0,0.0,1941-12-09,1941-12-16
ON.46,49.0,16.0,1.0,0.0,0.0,0.0,228813.0,0.0,1941-12-13,1941-12-21
ON.47,42.0,10.0,1.0,0.0,0.0,0.0,144523.0,0.0,1941-12-15,1941-12-23
ON.48,64.0,11.0,2.0,0.0,0.0,0.0,372851.0,0.0,1941-12-19,1941-12-31
ON.49,43.0,10.0,0.0,0.0,0.0,0.0,143287.0,0.0,1941-12-21,1942-01-05
ON.50,52.0,13.0,0.0,0.0,0.0,0.0,260733.0,0.0,1941-12-24,1942-01-03
ON.51,43.0,10.0,1.0,0.0,0.0,0.0,131851.0,0.0,1941-12-27,1942-01-11
ON.52,61.0,13.0,0.0,2.0,0.0,0.0,349472.0,16193.0,1941-12-31,1942-01-11
ON.53,48.0,11.0,3.0,5.0,0.0,2.0,160277.0,19953.0,1942-01-02,1942-01-19
ON.54,43.0,5.0,0.0,0.0,0.0,0.0,250642.0,0.0,1942-01-06,1942-01-17
ON.55,42.0,11.0,2.0,5.0,0.0,2.0,134736.0,25524.0,1942-01-08,1942-01-26
ON.56,42.0,6.0,0.0,5.0,0.0,0.0,267481.0,42166.0,1942-01-12,1942-01-16
ON.57,54.0,15.0,0.0,0.0,0.0,0.0,189651.0,0.0,1942-01-13,1942-02-07
ON.59,62.0,11.0,0.0,0.0,0.0,0.0,347603.0,0.0,1942-01-23,1942-02-06
ON.60,66.0,15.0,0.0,4.0,1.0,0.0,232049.0,18696.0,1942-01-26,1942-02-15
ON.61,32.0,11.0,0.0,0.0,0.0,0.0,141593.0,0.0,1942-01-27,1942-02-10
ON.62,58.0,13.0,1.0,2.0,0.0,0.0,221335.0,10563.0,1942-02-01,1942-02-15
ON.63,45.0,11.0,0.0,2.0,1.0,0.0,222792.0,7871.0,1942-02-02,1942-02-13
ON.64,48.0,8.0,0.0,0.0,0.0,0.0,189974.0,0.0,1942-02-07,1942-02-24
ON.65,59.0,10.0,0.0,0.0,0.0,0.0,343774.0,0.0,1942-02-08,1942-02-19
ON.66,32.0,11.0,1.0,2.0,0.0,1.0,83793.0,11895.0,1942-02-13,1942-02-26
ON.67,50.0,11.0,2.0,8.0,0.0,2.0,263118.0,54750.0,1942-02-14,1942-03-01
ON.68,39.0,12.0,2.0,2.0,0.0,2.0,116628.0,9984.0,1942-02-19,1942-03-09
ON.69,42.0,10.0,0.0,0.0,0.0,0.0,175625.0,0.0,1942-02-20,1942-03-06
ON.70,48.0,10.0,1.0,1.0,0.0,1.0,179894.0,3089.0,1942-02-25,1942-03-15
ON.71,51.0,9.0,0.0,0.0,0.0,0.0,321144.0,0.0,1942-02-26,1942-03-08
