,Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Arrival/Dispersal Date,Overall Sink Percentage,Escort Sink Percentage,Straggler Sink Percentage
193,OB.17,18.0,2.0,1.0,1.0,0.0,1.0,83452.0,5202.0,1939-10-09,1939-10-12,5.555555555555560,0.0,100.0
194,OB.18,12.0,2.0,0.0,1.0,0.0,0.0,66074.0,3677.0,1939-10-11,1939-10-17,8.333333333333330,0.0,0.0
528,HX.5,23.0,7.0,0.0,2.0,0.0,0.0,90517.0,12642.0,1939-10-17,1939-10-29,8.695652173913040,0.0,0.0
201,OB.25,21.0,2.0,0.0,1.0,0.0,0.0,129835.0,5317.0,1939-10-26,1939-10-30,4.761904761904760,0.0,0.0
222,OB.46,9.0,2.0,0.0,1.0,0.0,0.0,49474.0,8795.0,1939-12-03,1939-12-07,11.11111111111110,0.0,0.0
224,OB.48,16.0,2.0,1.0,2.0,0.0,1.0,78633.0,14065.0,1939-12-06,1939-12-10,12.5,0.0,100.0
537,HX.14,48.0,8.0,0.0,1.0,0.0,0.0,235703.0,7267.0,1939-12-29,1940-01-12,2.083333333333330,0.0,0.0
249,OB.74,18.0,2.0,0.0,1.0,0.0,0.0,90559.0,5494.0,1940-01-13,1940-01-18,5.555555555555560,0.0,0.0
541,HX.18,48.0,5.0,16.0,2.0,0.0,2.0,259966.0,14813.0,1940-01-31,1940-02-16,4.166666666666670,0.0,12.5
542,HX.19,52.0,7.0,0.0,1.0,0.0,0.0,271783.0,4996.0,1940-02-07,1940-02-22,1.9230769230769200,0.0,0.0
545,HX.22,42.0,8.0,0.0,1.0,0.0,0.0,265253.0,5068.0,1940-02-22,1940-03-09,2.380952380952380,0.0,0.0
570,HX.47,62.0,4.0,3.0,3.0,0.0,1.0,348796.0,18045.0,1940-06-02,1940-06-17,4.838709677419360,0.0,33.33333333333330
572,HX.49,55.0,5.0,2.0,4.0,0.0,0.0,330673.0,33574.0,1940-06-09,1940-06-24,7.2727272727272700,0.0,0.0
575,HX.52,36.0,7.0,1.0,1.0,0.0,1.0,149971.0,2053.0,1940-06-21,1940-07-06,2.7777777777777800,0.0,100.0
347,OB.174,65.0,1.0,1.0,1.0,0.0,1.0,325297.0,4421.0,1940-06-22,1940-06-26,1.5384615384615400,0.0,100.0
576,HX.53,53.0,10.0,0.0,2.0,0.0,0.0,218211.0,7955.0,1940-06-25,1940-07-10,3.7735849056603800,0.0,0.0
349,OB.176,30.0,2.0,0.0,1.0,0.0,0.0,157413.0,8999.0,1940-06-25,1940-06-30,3.3333333333333300,0.0,0.0
578,HX.55,47.0,7.0,0.0,1.0,0.0,0.0,245648.0,8652.0,1940-07-03,1940-07-18,2.127659574468090,0.0,0.0
360,OB.188,38.0,3.0,0.0,4.0,0.0,0.0,173171.0,29320.0,1940-07-20,1940-07-22,10.526315789473700,0.0,0.0
362,OB.191,31.0,3.0,0.0,1.0,0.0,0.0,146127.0,6322.0,1940-07-23,1940-07-27,3.225806451612900,0.0,0.0
583,HX.60,68.0,8.0,0.0,3.0,0.0,0.0,353645.0,17102.0,1940-07-23,1940-08-07,4.411764705882350,0.0,0.0
364,OB.193,39.0,2.0,0.0,1.0,0.0,0.0,178100.0,5408.0,1940-07-30,1940-08-02,2.564102564102560,0.0,0.0
585,HX.62,82.0,3.0,5.0,2.0,0.0,1.0,391887.0,7496.0,1940-07-31,1940-08-15,2.4390243902439000,0.0,20.0
368,OB.197,55.0,2.0,0.0,2.0,0.0,0.0,298011.0,8953.0,1940-08-08,1940-08-12,3.6363636363636400,0.0,0.0
369,OB.198,29.0,3.0,0.0,1.0,0.0,0.0,130176.0,4397.0,1940-08-10,1940-08-15,3.4482758620689700,0.0,0.0
588,HX.65,60.0,9.0,3.0,7.0,0.0,3.0,318981.0,41184.0,1940-08-12,1940-08-27,11.666666666666700,0.0,100.0
0,SC.1,46.0,6.0,2.0,4.0,1.0,2.0,122223.0,10633.0,1940-08-15,1940-08-29,8.695652173913040,16.666666666666700,100.0
589,HX.66,58.0,7.0,1.0,4.0,0.0,0.0,254353.0,17039.0,1940-08-16,1940-08-31,6.896551724137930,0.0,0.0
372,OB.201,31.0,2.0,1.0,1.0,0.0,1.0,153338.0,3774.0,1940-08-16,1940-08-20,3.225806451612900,0.0,100.0
373,OB.202,31.0,3.0,0.0,2.0,0.0,0.0,145930.0,16620.0,1940-08-18,1940-08-22,6.451612903225810,0.0,0.0
375,OB.204,46.0,8.0,2.0,2.0,0.0,2.0,190268.0,8476.0,1940-08-22,1940-08-26,4.3478260869565200,0.0,100.0
376,OB.205,33.0,1.0,1.0,4.0,0.0,1.0,190253.0,15621.0,1940-08-24,1940-08-28,12.121212121212100,0.0,100.0
1,SC.2,63.0,9.0,0.0,5.0,0.0,0.0,177495.0,20943.0,1940-08-25,1940-09-10,7.936507936507940,0.0,0.0
377,OB.206,43.0,8.0,0.0,1.0,0.0,0.0,189723.0,4261.0,1940-08-26,1940-08-29,2.3255813953488400,0.0,0.0
593,HX.70,53.0,11.0,3.0,1.0,0.0,1.0,236439.0,4950.0,1940-09-01,1940-09-16,1.8867924528301900,0.0,33.33333333333330
2,SC.3,57.0,8.0,2.0,6.0,1.0,2.0,157962.0,16947.0,1940-09-02,1940-09-18,10.526315789473700,12.5,100.0
594,HX.71,41.0,8.0,1.0,2.0,0.0,1.0,174151.0,7614.0,1940-09-05,1940-09-20,4.878048780487810,0.0,100.0
595,HX.72,55.0,12.0,0.0,11.0,0.0,0.0,238580.0,72702.0,1940-09-09,1940-09-21,20.0,0.0,0.0
384,OB.213,24.0,3.0,0.0,2.0,0.0,0.0,119181.0,16169.0,1940-09-10,1940-09-13,8.333333333333330,0.0,0.0
387,OB.216,46.0,6.0,1.0,5.0,0.0,1.0,202279.0,41339.0,1940-09-15,1940-09-18,10.869565217391300,0.0,100.0
388,OB.217,42.0,4.0,0.0,5.0,0.0,0.0,217358.0,29066.0,1940-09-17,1940-09-21,11.904761904761900,0.0,0.0
389,OB.218,27.0,7.0,1.0,5.0,1.0,1.0,129432.0,26139.0,1940-09-19,1940-09-23,18.51851851851850,14.285714285714300,100.0
390,OB.219,30.0,5.0,0.0,1.0,0.0,0.0,149895.0,3278.0,1940-09-21,1940-09-25,3.3333333333333300,0.0,0.0
391,OB.220,36.0,5.0,1.0,2.0,0.0,1.0,146133.0,7105.0,1940-09-24,1940-09-29,5.555555555555560,0.0,100.0
599,HX.76,51.0,12.0,1.0,1.0,0.0,1.0,207957.0,4956.0,1940-09-26,1940-10-10,1.9607843137254900,0.0,100.0
393,OB.222,50.0,6.0,0.0,2.0,0.0,0.0,220026.0,12066.0,1940-09-27,1940-10-01,4.0,0.0,0.0
5,SC.6,45.0,6.0,2.0,4.0,0.0,2.0,119904.0,13106.0,1940-09-27,1940-10-12,8.88888888888889,0.0,100.0
600,HX.77,49.0,12.0,4.0,6.0,0.0,2.0,188506.0,40318.0,1940-09-30,1940-10-15,12.244897959183700,0.0,50.0
395,OB.224,33.0,7.0,1.0,1.0,0.0,1.0,106079.0,6589.0,1940-10-01,1940-10-05,3.0303030303030300,0.0,100.0
6,SC.7,43.0,6.0,4.0,20.0,0.0,4.0,138194.0,79592.0,1940-10-05,1940-10-21,46.51162790697670,0.0,100.0
602,HX.79,66.0,16.0,0.0,12.0,0.0,0.0,279816.0,75069.0,1940-10-08,1940-10-23,18.181818181818200,0.0,0.0
399,OB.228,44.0,4.0,0.0,4.0,0.0,0.0,156561.0,12822.0,1940-10-09,1940-10-12,9.090909090909090,0.0,0.0
400,OB.229,37.0,7.0,0.0,2.0,0.0,0.0,171440.0,11199.0,1940-10-11,1940-10-15,5.405405405405410,0.0,0.0
605,HX.82,57.0,17.0,4.0,1.0,0.0,1.0,238760.0,5612.0,1940-10-20,1940-11-06,1.7543859649122800,0.0,25.0
405,OB.234,38.0,9.0,0.0,1.0,0.0,0.0,177613.0,3059.0,1940-10-21,1940-10-26,2.631578947368420,0.0,0.0
406,OB.235,32.0,6.0,1.0,1.0,0.0,0.0,154843.0,5168.0,1940-10-23,1940-10-27,3.125,0.0,0.0
606,HX.83,49.0,12.0,0.0,1.0,0.0,0.0,243811.0,6993.0,1940-10-24,1940-11-07,2.0408163265306100,0.0,0.0
607,HX.84,41.0,3.0,0.0,1.0,0.0,0.0,225728.0,5225.0,1940-10-28,1940-11-05,2.4390243902439000,0.0,0.0
411,OB.240,48.0,8.0,1.0,1.0,0.0,0.0,182963.0,5094.0,1940-11-02,1940-11-05,2.083333333333330,0.0,0.0
10,SC.11,44.0,6.0,0.0,7.0,0.0,0.0,119017.0,24601.0,1940-11-09,1940-11-26,15.909090909090900,0.0,0.0
415,OB.244,51.0,8.0,2.0,6.0,1.0,2.0,181284.0,31739.0,1940-11-09,1940-11-14,11.76470588235290,12.5,100.0
612,HX.88,63.0,10.0,1.0,1.0,0.0,1.0,312953.0,8240.0,1940-11-14,1940-11-30,1.5873015873015900,0.0,100.0
418,OB.248,48.0,5.0,3.0,3.0,0.0,2.0,182465.0,9833.0,1940-11-17,1940-11-22,6.25,0.0,66.66666666666670
419,OB.249,49.0,6.0,0.0,1.0,0.0,0.0,250989.0,4940.0,1940-11-18,1940-11-22,2.0408163265306100,0.0,0.0
614,HX.90,49.0,9.0,2.0,10.0,0.0,2.0,239146.0,57556.0,1940-11-21,1940-12-05,20.408163265306100,0.0,100.0
12,SC.13,49.0,6.0,2.0,1.0,0.0,1.0,144399.0,5652.0,1940-11-22,1940-12-07,2.0408163265306100,0.0,50.0
421,OB.251,36.0,3.0,0.0,3.0,0.0,0.0,207794.0,23636.0,1940-11-23,1940-11-26,8.333333333333330,0.0,0.0
422,OB.252,45.0,13.0,2.0,3.0,0.0,2.0,138434.0,12325.0,1940-11-24,1940-11-28,6.666666666666670,0.0,100.0
