,Date,Average Number in Atlantic Oceane,U-Boats Sunk
0,1939-09,6.0,2.0
1,1939-10,3.0,4.0
2,1939-11,4.0,2.0
3,1939-12,2.0,1.0
4,1940-01,7.0,2.0
5,1940-02,8.0,5.0
6,1940-03,3.0,2.0
7,1940-04,24.0,7.0
8,1940-05,5.0,1.0
9,1940-06,12.0,11.0
10,1940-07,5.0,4.0
11,1940-08,9.0,2.0
12,1940-09,7.0,6.0
13,1940-10,7.0,5.0
14,1940-11,8.0,5.0
15,1940-12,12.0,3.0
16,1941-01,12.0,3.0
17,1941-02,11.0,0.0
18,1941-03,15.0,9.0
19,1941-04,16.0,3.0
20,1941-05,16.0,1.0
21,1941-06,25.0,6.0
22,1941-07,20.0,2.0
23,1941-08,35.0,5.0
24,1941-09,36.0,7.0
25,1941-10,30.0,2.0
26,1941-11,32.0,4.0
27,1941-12,24.0,13.0
28,1942-01,35.0,5.0
29,1942-02,44.0,33.0
30,1942-03,45.0,7.0
31,1942-04,42.0,2.0
32,1942-05,49.0,5.0
33,1942-06,61.0,8.0
34,1942-07,73.0,12.0
35,1942-08,82.0,16.0
36,1942-09,91.0,9.0
37,1942-10,110.0,13.0
38,1942-11,98.0,18.0
39,1942-12,98.0,6.0
40,1943-01,105.0,8.0
41,1943-02,106.0,20.0
42,1943-03,114.0,13.0
43,1943-04,110.0,14.0
44,1943-05,116.0,37.0
45,1943-06,89.0,13.0
46,1943-07,89.0,40.0
47,1943-08,50.0,22.0
48,1943-09,56.0,8.0
49,1943-10,68.0,28.0
50,1943-11,66.0,16.0
51,1943-12,58.0,6.0
52,1944-01,57.0,15.0
53,1944-02,54.0,18.0
54,1944-03,52.0,20.0
55,1944-04,43.0,14.0
56,1944-05,32.0,19.0
57,1944-06,43.0,24.0
58,1944-07,26.0,16.0
59,1944-08,35.0,22.0
60,1944-09,47.0,11.0
61,1944-10,21.0,6.0
62,1944-11,23.0,4.0
63,1944-12,30.0,8.0
64,1945-01,30.0,4.0
65,1945-02,39.0,13.0
66,1945-03,50.0,10.0
67,1945-04,53.0,21.0
68,1945-05,,
