,Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Arrival/Dispersal Date,Overall Sink Percentage,Escort Sink Percentage,Straggler Sink Percentage
177,OB.1,5.0,2.0,0.0,0.0,0.0,0.0,22877.0,0.0,1939-09-07,1939-09-10,0.0,0.0,0.0
178,OB.2,5.0,2.0,0.0,0.0,0.0,0.0,22967.0,0.0,1939-09-09,1939-09-14,0.0,0.0,0.0
179,OB.3,7.0,4.0,0.0,0.0,0.0,0.0,21293.0,0.0,1939-09-11,1939-09-16,0.0,0.0,0.0
180,OB.4,12.0,2.0,0.0,0.0,0.0,0.0,77587.0,0.0,1939-09-13,1939-09-16,0.0,0.0,0.0
181,OB.5,20.0,3.0,0.0,0.0,0.0,0.0,98187.0,0.0,1939-09-16,1939-09-19,0.0,0.0,0.0
523,HX.1,22.0,4.0,0.0,0.0,0.0,0.0,99182.0,0.0,1939-09-16,1939-09-30,0.0,0.0,0.0
182,OB.6,7.0,2.0,1.0,0.0,0.0,0.0,28070.0,0.0,1939-09-17,1939-09-20,0.0,0.0,0.0
183,OB.7,17.0,3.0,0.0,0.0,0.0,0.0,102567.0,0.0,1939-09-19,1939-09-23,0.0,0.0,0.0
184,OB.8,13.0,2.0,0.0,0.0,0.0,0.0,58165.0,0.0,1939-09-21,1939-09-25,0.0,0.0,0.0
185,OB.9,21.0,2.0,0.0,0.0,0.0,0.0,90337.0,0.0,1939-09-23,1939-09-26,0.0,0.0,0.0
524,HX.2,19.0,4.0,0.0,0.0,0.0,0.0,93630.0,0.0,1939-09-23,1939-10-10,0.0,0.0,0.0
186,OB.10,13.0,2.0,0.0,0.0,0.0,0.0,75789.0,0.0,1939-09-25,1939-09-28,0.0,0.0,0.0
187,OB.11,15.0,2.0,0.0,0.0,0.0,0.0,98399.0,0.0,1939-09-27,1939-09-30,0.0,0.0,0.0
526,HX.3S,4.0,0.0,0.0,0.0,0.0,0.0,17868.0,0.0,1939-09-29,1939-10-14,0.0,0.0,0.0
188,OB.12,19.0,2.0,0.0,0.0,0.0,0.0,61079.0,0.0,1939-09-29,0,0.0,0.0,0.0
525,HX.3,27.0,3.0,0.0,0.0,0.0,0.0,131859.0,0.0,1939-09-30,1939-10-14,0.0,0.0,0.0
189,OB.13,33.0,2.0,0.0,0.0,0.0,0.0,166743.0,0.0,1939-10-01,1939-10-04,0.0,0.0,0.0
190,OB.14,8.0,2.0,0.0,0.0,0.0,0.0,37574.0,0.0,1939-10-03,1939-10-06,0.0,0.0,0.0
191,OB.15,12.0,2.0,0.0,0.0,0.0,0.0,55138.0,0.0,1939-10-05,1939-10-08,0.0,0.0,0.0
527,HX.4,13.0,3.0,0.0,0.0,0.0,0.0,51562.0,0.0,1939-10-08,1939-10-22,0.0,0.0,0.0
192,OB.16,21.0,2.0,0.0,0.0,0.0,0.0,96096.0,0.0,1939-10-08,0,0.0,0.0,0.0
193,OB.17,18.0,2.0,1.0,1.0,0.0,1.0,83452.0,5202.0,1939-10-09,1939-10-12,5.555555555555560,0.0,100.0
194,OB.18,12.0,2.0,0.0,1.0,0.0,0.0,66074.0,3677.0,1939-10-11,1939-10-17,8.333333333333330,0.0,0.0
195,OB.19,12.0,2.0,0.0,0.0,0.0,0.0,54848.0,0.0,1939-10-13,1939-10-18,0.0,0.0,0.0
196,OB.20,23.0,2.0,0.0,0.0,0.0,0.0,99844.0,0.0,1939-10-16,0,0.0,0.0,0.0
528,HX.5,23.0,7.0,0.0,2.0,0.0,0.0,90517.0,12642.0,1939-10-17,1939-10-29,8.695652173913040,0.0,0.0
197,OB.21,16.0,2.0,0.0,0.0,0.0,0.0,84179.0,0.0,1939-10-17,1939-10-22,0.0,0.0,0.0
198,OB.22,16.0,2.0,0.0,0.0,0.0,0.0,95162.0,0.0,1939-10-19,1939-10-22,0.0,0.0,0.0
199,OB.23,14.0,2.0,0.0,0.0,0.0,0.0,80885.0,0.0,1939-10-21,1939-10-26,0.0,0.0,0.0
529,HX.6,65.0,9.0,0.0,0.0,0.0,0.0,375633.0,0.0,1939-10-25,1939-11-10,0.0,0.0,0.0
200,OB.24,28.0,2.0,0.0,0.0,0.0,0.0,123414.0,0.0,1939-10-25,0,0.0,0.0,0.0
201,OB.25,21.0,2.0,0.0,1.0,0.0,0.0,129835.0,5317.0,1939-10-26,1939-10-30,4.761904761904760,0.0,0.0
202,OB.26,19.0,2.0,0.0,0.0,0.0,0.0,133064.0,0.0,1939-10-27,1939-11-01,0.0,0.0,0.0
203,OB.27,21.0,2.0,0.0,0.0,0.0,0.0,109098.0,0.0,1939-10-29,1939-11-03,0.0,0.0,0.0
204,OB.28,27.0,2.0,0.0,0.0,0.0,0.0,107618.0,0.0,1939-11-01,0,0.0,0.0,0.0
530,HX.7,35.0,5.0,0.0,0.0,0.0,0.0,176140.0,0.0,1939-11-02,1939-11-16,0.0,0.0,0.0
205,OB.29,25.0,4.0,0.0,0.0,0.0,0.0,121586.0,0.0,1939-11-02,1939-11-07,0.0,0.0,0.0
206,OB.30,20.0,1.0,0.0,0.0,0.0,0.0,85261.0,0.0,1939-11-04,1939-11-09,0.0,0.0,0.0
207,OB.31,9.0,2.0,1.0,0.0,0.0,0.0,39316.0,0.0,1939-11-06,1939-11-11,0.0,0.0,0.0
208,OB.32,23.0,2.0,0.0,0.0,0.0,0.0,119366.0,0.0,1939-11-08,0,0.0,0.0,0.0
531,HX.8,38.0,3.0,0.0,0.0,0.0,0.0,222125.0,0.0,1939-11-10,1939-11-25,0.0,0.0,0.0
209,OB.33,35.0,3.0,1.0,0.0,0.0,0.0,181786.0,0.0,1939-11-10,1939-11-15,0.0,0.0,0.0
210,OB.34,18.0,3.0,0.0,0.0,0.0,0.0,86394.0,0.0,1939-11-12,1939-11-18,0.0,0.0,0.0
211,OB.35,17.0,2.0,0.0,0.0,0.0,0.0,77876.0,0.0,1939-11-14,1939-11-19,0.0,0.0,0.0
212,OB.36,30.0,4.0,0.0,0.0,0.0,0.0,124595.0,0.0,1939-11-16,0,0.0,0.0,0.0
