SC Convoy Number,Number of Ships,Number of Escort Ships,Number of Stragglers,Number of Ships Sunk,Number of Escorts Sunk,Number of Stragglers Sunk,Total Tons of Convoy,Total Tons of Ships Sunk,Depart_Date,Arrive_Date
SC.1,46,6,2,4,1,2,122223,10633,1940-08-15,1940-08-29
SC.2,63,9,0,5,0,0,177495,20943,1940-08-25,1940-09-10
SC.3,57,8,2,6,1,2,157962,16947,1940-09-02,1940-09-18
SC.4,43,11,0,0,0,0,82436,0,1940-09-10,1940-09-26
SC.5,52,9,0,0,0,0,137380,0,1940-09-19,1940-10-04
SC.6,45,6,2,4,0,2,119904,13106,1940-09-27,1940-10-12
SC.7,43,6,4,20,0,4,138194,79592,1940-10-05,1940-10-21
SC.8,56,14,0,0,0,0,142906,0,1940-10-15,1940-10-31
SC.9,39,8,0,0,0,0,105830,0,1940-10-24,1940-11-09
SC.10,17,3,0,0,0,0,47811,0,1940-10-29,1940-11-13
SC.11,44,6,0,7,0,0,119017,24601,1940-11-09,1940-11-26
SC.12,23,6,0,0,0,0,54750,0,1940-11-13,1940-11-29
SC.13,49,6,2,1,0,1,144399,5652,1940-11-22,1940-12-07
SC.14,22,0,0,0,0,0,83060,0,1940-11-30,1940-12-17
SC.15,29,2,2,2,0,1,105892,6543,1940-12-08,1940-12-23
SC.16,22,7,0,0,0,0,69515,0,1940-12-15,1940-12-31
SC.17,29,8,0,0,0,0,103298,0,1940-12-23,1941-01-08
SC.18,36,6,0,0,0,0,112259,0,1941-01-02,1941-01-19
SC.19,39,11,3,6,0,3,122941,33723,1941-01-12,1941-02-02
SC.20,55,7,2,3,0,1,183367,11406,1941-01-22,1941-02-08
SC.21,47,9,2,1,0,1,158679,4517,1941-01-31,1941-02-18
SC.22,41,6,0,0,0,0,130894,0,1941-02-08,1941-02-28
SC.23,52,13,0,0,0,0,164637,0,1941-02-18,1941-03-09
SC.24,36,8,1,1,0,1,113573,5759,1941-02-28,1941-03-19
SC.25,49,10,1,1,0,1,168101,6695,1941-03-10,1941-03-29
SC.26,36,11,1,10,0,1,125479,51969,1941-03-20,1941-04-08
SC.27,40,10,0,0,0,0,137411,0,1941-03-30,1941-04-18
SC.28,48,14,0,0,0,0,162939,0,1941-04-09,1941-04-28
SC.29,64,18,0,0,0,0,190029,0,1941-04-19,1941-05-08
SC.30,49,21,0,2,1,0,136843,15719,1941-04-29,1941-05-20
SC.31,56,21,0,0,0,0,142227,0,1941-05-09,1941-05-30
SC.32,52,19,0,0,0,0,154927,0,1941-05-19,1941-06-07
SC.33,68,19,0,0,0,0,203890,0,1941-06-01,1941-06-21
SC.34,57,22,0,0,0,0,133051,0,1941-06-10,1941-06-29
SC.35,55,17,0,0,0,0,151018,0,1941-06-20,1941-07-09
SC.36,68,22,0,0,0,0,182248,0,1941-07-01,1941-07-19
SC.37,58,16,0,0,0,0,162472,0,1941-07-12,1941-07-28
SC.38,48,18,0,0,0,0,132403,0,1941-07-22,1941-08-08
SC.39,57,22,0,0,0,0,155576,0,1941-08-01,1941-08-19
SC.40,73,21,2,0,0,0,208165,0,1941-08-10,1941-08-29
SC.41,97,18,1,1,0,1,276143,2000,1941-08-24,1941-09-11
SC.42,101,29,1,16,0,1,271397,68243,1941-08-30,1941-09-20
SC.43,69,13,0,0,0,0,252649,0,1941-09-05,1941-09-20
SC.44,82,23,0,5,1,0,230051,26578,1941-09-11,1941-09-30
SC.45,91,22,0,0,0,0,279377,0,1941-09-18,1941-10-04
SC.46,81,15,2,0,0,0,284917,0,1941-09-24,1941-10-10
