iter	Passed	Remaining
0	60	60131
1	60	30346
2	61	20386
3	61	15400
4	62	12417
5	63	10492
6	64	9109
7	65	8068
8	66	7279
9	66	6600
10	67	6045
11	67	5571
12	68	5173
13	68	4836
14	69	4546
15	69	4289
16	70	4067
17	70	3865
18	71	3689
19	72	3534
20	72	3392
21	73	3262
22	73	3142
23	74	3033
24	75	2934
25	75	2842
26	76	2753
27	76	2671
28	77	2593
29	78	2527
30	78	2462
31	79	2405
32	80	2352
33	80	2300
34	81	2252
35	82	2209
36	83	2162
37	83	2117
38	84	2075
39	84	2039
40	85	2000
41	86	1967
42	87	1936
43	87	1906
44	88	1874
45	89	1847
46	89	1816
47	90	1787
48	90	1759
49	91	1731
50	91	1709
51	93	1697
52	93	1674
53	94	1652
54	94	1631
55	95	1614
56	96	1597
57	97	1578
58	98	1564
59	98	1547
60	99	1528
61	99	1511
62	100	1491
63	100	1474
64	101	1459
65	102	1443
66	102	1429
67	103	1415
68	103	1400
69	104	1387
70	104	1373
71	105	1359
72	105	1346
73	106	1332
74	107	1321
75	107	1309
76	108	1298
77	108	1286
78	109	1276
79	110	1265
80	110	1254
81	111	1248
82	112	1239
83	112	1230
84	113	1222
85	114	1216
86	115	1207
87	115	1199
88	116	1190
89	116	1181
90	117	1173
91	117	1164
92	118	1157
93	119	1149
94	119	1141
95	120	1133
96	120	1125
97	121	1117
98	121	1110
99	122	1102
100	123	1095
101	123	1088
102	124	1082
103	124	1075
104	125	1069
105	125	1062
106	126	1055
107	127	1050
108	127	1045
109	128	1040
110	129	1035
111	129	1030
112	130	1025
113	131	1019
114	131	1014
115	132	1008
116	132	1003
117	134	1002
118	134	998
119	135	993
120	136	987
121	136	983
122	137	978
123	138	975
124	138	971
125	139	967
126	139	962
127	140	957
128	141	953
129	141	949
130	142	944
131	143	941
132	144	939
133	145	937
134	145	933
135	146	933
136	147	930
137	148	926
138	148	921
139	149	918
140	150	915
141	150	911
142	151	907
143	152	904
144	152	900
145	153	897
146	154	893
147	154	890
148	155	888
149	156	886
150	157	885
151	158	884
152	159	881
153	160	879
154	161	877
155	161	875
156	162	873
157	163	870
158	164	868
159	165	869
160	166	865
161	166	862
162	167	859
163	167	856
164	168	853
165	169	850
166	170	848
167	170	844
168	171	841
169	171	838
170	172	836
171	173	832
172	173	829
173	174	826
