iter	Passed	Remaining
0	60	60810
1	61	30764
2	62	20734
3	62	15679
4	63	12666
5	64	10656
6	64	9216
7	65	8143
8	66	7309
9	67	6654
10	67	6110
11	68	5647
12	69	5243
13	69	4910
14	70	4625
15	71	4374
16	71	4150
17	72	3953
18	73	3774
19	73	3611
20	74	3462
21	74	3323
22	75	3200
23	75	3087
24	76	2985
25	77	2892
26	77	2804
27	78	2721
28	78	2642
29	79	2570
30	80	2501
31	80	2438
32	81	2379
33	81	2321
34	82	2270
35	83	2227
36	83	2184
37	84	2140
38	85	2098
39	85	2058
40	86	2019
41	86	1982
42	87	1947
43	88	1914
44	88	1882
45	89	1852
46	89	1823
47	90	1794
48	91	1768
49	91	1742
50	92	1716
51	92	1690
52	93	1666
53	93	1643
54	94	1621
55	94	1601
56	95	1579
57	96	1559
58	96	1539
59	97	1520
60	97	1502
61	98	1485
62	98	1465
63	99	1448
64	99	1432
65	100	1417
66	100	1403
67	101	1388
68	101	1374
69	102	1361
70	103	1347
71	103	1335
72	104	1322
73	104	1309
74	105	1297
75	105	1286
76	106	1276
77	107	1264
78	107	1253
79	108	1242
80	108	1233
81	109	1223
82	109	1213
83	110	1203
84	110	1193
85	111	1185
86	112	1177
87	112	1168
88	113	1159
89	113	1151
90	114	1144
91	115	1136
92	115	1129
93	116	1121
94	117	1114
95	117	1107
96	118	1100
97	118	1095
98	119	1088
99	120	1081
100	120	1075
101	121	1068
102	121	1061
103	122	1055
104	123	1049
105	123	1043
106	124	1037
107	124	1032
108	125	1026
109	126	1020
110	126	1014
111	127	1009
112	128	1004
113	128	999
114	129	994
115	129	989
116	130	983
117	130	979
118	131	973
119	132	968
120	132	963
121	133	959
122	133	954
123	134	949
124	134	944
125	135	940
126	136	937
127	136	932
128	137	928
129	137	923
130	138	919
131	139	914
132	139	910
133	140	906
134	140	902
135	141	897
136	141	893
137	142	889
138	142	885
139	143	882
140	144	878
141	144	874
142	145	870
143	145	867
144	146	863
145	147	860
146	147	857
147	148	854
148	148	850
149	149	848
150	150	844
151	151	842
152	151	839
153	152	836
154	152	833
155	153	830
156	154	827
157	154	823
158	155	820
159	155	817
160	156	814
161	156	811
162	157	808
163	157	804
164	158	801
165	158	798
166	159	797
167	160	793
168	160	791
169	161	788
170	162	786
171	162	783
172	163	781
173	164	779
174	164	776
175	165	773
176	165	770
177	166	768
178	166	765
179	167	762
180	168	760
181	168	757
182	169	755
183	169	753
184	170	751
185	171	748
186	171	746
187	172	743
188	173	744
189	174	744
190	175	744
191	176	743
192	177	741
193	178	740
194	179	741
195	180	741
196	182	743
197	184	745
198	185	745
199	186	745
200	187	743
201	187	741
202	188	740
203	189	739
204	189	736
205	190	734
206	191	732
207	191	730
208	192	727
209	192	725
210	193	723
211	194	721
212	194	719
213	195	717
214	196	716
215	196	714
216	197	713
217	198	712
218	199	710
219	199	708
220	200	706
221	201	704
222	201	702
223	202	700
224	202	698
225	203	696
226	203	694
227	204	692
228	205	690
229	205	688
230	206	686
231	206	684
232	207	682
233	207	680
234	208	678
235	209	676
236	209	675
237	210	673
238	210	671
239	211	670
240	212	669
241	213	667
242	213	666
243	214	664
244	214	662
245	215	660
246	216	658
247	216	657
248	217	655
249	218	654
250	218	652
251	219	650
252	219	649
253	220	647
254	220	645
255	221	643
256	222	642
257	222	640
258	223	638
259	223	637
260	224	635
261	225	633
262	225	632
263	226	630
264	226	628
265	227	627
266	228	626
267	228	624
268	229	622
269	229	621
270	230	619
271	230	618
272	231	616
273	232	614
274	232	613
275	233	611
276	233	610
277	234	608
278	234	607
279	235	605
280	236	604
281	236	602
282	237	601
283	237	599
284	238	598
285	239	597
286	239	595
287	240	594
288	240	592
289	241	591
290	241	589
291	242	588
292	243	586
293	243	585
294	244	584
295	245	582
296	245	581
297	246	579
298	246	578
299	247	576
300	247	575
301	248	574
302	248	572
303	249	571
304	249	569
305	250	568
306	251	566
307	251	565
308	252	564
309	252	562
310	253	561
311	254	560
312	254	558
313	255	557
314	255	555
315	256	554
316	256	553
317	257	551
318	257	550
319	258	549
320	259	547
321	259	546
322	260	545
323	260	544
324	261	543
325	262	541
326	262	540
327	263	539
328	263	537
329	264	536
330	264	535
331	265	534
332	266	533
333	266	531
334	267	530
335	267	529
336	268	527
337	268	526
338	269	525
339	270	524
340	270	523
341	271	521
342	271	520
343	272	519
344	273	518
345	273	517
346	274	516
347	274	515
348	275	513
349	276	512
350	276	511
351	277	510
352	278	509
353	278	508
354	279	507
355	279	506
356	280	505
357	281	504
358	281	503
359	282	502
360	283	501
361	283	500
362	284	499
363	284	497
364	285	496
365	286	495
366	286	494
367	287	493
368	287	492
369	288	491
370	289	490
371	289	489
372	290	488
373	291	487
374	291	486
375	292	485
376	292	483
377	293	482
378	294	481
379	294	480
380	295	479
381	295	478
382	296	477
383	296	476
384	297	475
385	298	474
386	298	473
387	299	472
388	299	470
389	300	469
390	300	468
391	301	467
392	302	466
393	302	465
394	303	464
395	303	463
396	304	462
397	305	461
398	305	460
399	306	459
400	306	458
401	307	457
402	308	456
403	308	455
404	309	454
405	309	453
406	310	452
407	310	451
408	311	449
409	312	449
410	312	448
411	313	447
412	313	446
413	314	445
414	315	444
415	315	443
416	316	442
417	316	441
418	317	439
419	317	439
420	318	438
421	319	437
422	319	436
423	320	435
424	320	433
425	321	432
426	321	432
427	322	431
428	323	429
429	323	428
430	324	427
431	324	427
432	325	426
433	326	425
434	326	424
435	327	423
436	327	422
437	328	421
438	328	420
439	329	419
440	329	418
441	330	417
442	331	416
443	332	415
444	332	415
445	333	413
446	333	413
447	334	412
448	335	411
449	335	410
450	336	409
451	337	408
452	337	407
453	338	406
454	338	406
455	339	405
456	340	404
457	340	403
458	341	402
459	341	401
460	342	400
461	343	399
462	343	398
463	344	397
464	344	396
465	345	395
466	346	395
467	346	394
468	347	393
469	348	392
470	348	391
471	349	390
472	349	389
473	350	388
474	351	388
475	351	387
476	352	386
477	352	385
478	353	384
479	354	383
480	354	382
481	355	381
482	355	380
483	356	380
484	357	379
485	357	378
486	358	377
487	358	376
488	359	375
489	360	374
490	360	374
491	361	373
492	361	372
493	362	371
494	363	370
495	363	369
496	364	368
497	364	367
498	365	366
499	366	366
500	366	365
501	367	364
502	367	363
503	368	362
504	369	361
505	369	361
506	370	360
507	370	359
508	371	358
509	372	358
510	373	357
511	374	356
512	374	355
513	375	354
514	375	353
515	376	353
516	376	352
517	377	351
518	378	350
519	378	349
520	379	348
521	379	347
522	380	347
523	381	346
524	381	345
525	382	344
526	382	343
527	383	342
528	384	342
529	384	341
530	385	340
531	385	339
532	386	338
533	386	337
534	387	336
535	387	335
536	389	335
537	389	334
538	390	333
539	391	333
540	391	332
541	392	331
542	392	330
543	393	329
544	394	328
545	394	328
546	395	327
547	395	326
548	396	325
549	397	324
550	397	324
551	398	323
552	398	322
553	399	321
554	399	320
555	400	319
556	401	318
557	401	318
558	402	317
559	402	316
560	403	315
561	403	314
562	404	314
563	405	313
564	405	312
565	406	311
566	407	310
567	407	309
568	408	309
569	408	308
570	409	307
571	409	306
572	410	305
573	411	305
574	411	304
575	412	303
576	412	302
577	413	301
578	413	300
579	414	300
580	415	299
581	415	298
582	416	297
583	416	296
584	417	295
585	417	295
586	418	294
587	419	293
588	419	292
589	420	291
590	420	291
591	421	290
592	421	289
593	422	288
594	423	288
595	423	287
596	424	286
597	425	285
598	425	284
599	426	284
600	426	283
601	427	282
602	427	281
603	428	280
604	429	280
605	429	279
606	430	278
607	430	277
608	431	277
609	432	276
610	432	275
611	433	274
612	433	273
613	434	273
614	434	272
615	435	271
616	436	270
617	436	270
618	437	269
619	438	268
620	438	267
621	439	267
622	439	266
623	440	265
624	441	264
625	441	263
626	442	263
627	442	262
628	443	261
629	443	260
630	444	259
631	445	259
632	445	258
633	446	258
634	448	257
635	448	256
636	449	256
637	450	255
638	450	254
639	451	253
640	451	253
641	452	252
642	452	251
643	453	250
644	454	249
645	454	249
646	455	248
647	455	247
648	456	246
649	456	246
650	457	245
651	458	244
652	458	243
653	459	243
654	459	242
655	460	241
656	461	240
657	461	239
658	462	239
659	462	238
660	463	237
661	463	236
662	464	236
663	464	235
664	465	234
665	466	233
666	466	233
667	467	232
668	468	231
669	468	230
670	469	230
671	469	229
672	470	228
673	471	227
674	471	227
675	472	226
676	472	225
677	473	224
678	474	224
679	474	223
680	475	222
681	475	221
682	476	221
683	476	220
684	477	219
685	478	218
686	478	218
687	479	217
688	479	216
689	480	215
690	481	215
691	481	214
692	482	213
693	482	212
694	483	212
695	483	211
696	484	210
697	485	209
698	485	209
699	486	208
700	486	207
701	487	206
702	488	206
703	488	205
704	489	204
705	489	204
706	490	203
707	491	202
708	491	201
709	492	201
710	493	200
711	493	199
712	494	199
713	494	198
714	495	197
715	496	196
716	496	196
717	497	195
718	497	194
719	498	193
720	499	193
721	499	192
722	500	191
723	500	190
724	501	190
725	501	189
726	502	188
727	503	188
728	503	187
729	504	186
730	504	185
731	505	185
732	506	184
733	506	183
734	507	182
735	507	182
736	508	181
737	509	180
738	509	180
739	510	179
740	510	178
741	511	177
742	511	177
743	512	176
744	513	175
745	513	174
746	514	174
747	514	173
748	515	172
749	515	171
750	516	171
751	517	170
752	517	169
753	518	169
754	518	168
755	519	167
756	520	166
757	520	166
758	521	165
759	521	164
760	522	164
761	522	163
762	523	162
763	523	161
764	524	161
765	525	160
766	525	159
767	526	159
768	526	158
769	527	157
770	528	156
771	528	156
772	529	155
773	530	154
774	530	154
775	531	153
776	531	152
777	532	151
778	533	151
779	533	150
780	534	149
781	534	149
782	535	148
783	536	147
784	536	146
785	537	146
786	537	145
787	538	144
788	538	144
789	539	143
790	540	142
791	540	141
792	541	141
793	541	140
794	542	139
795	542	139
796	543	138
797	544	137
798	544	137
799	545	136
800	545	135
801	546	134
802	546	134
803	547	133
804	548	132
805	548	132
806	549	131
807	549	130
808	550	129
809	551	129
810	551	128
811	552	127
812	553	127
813	553	126
814	554	125
815	554	125
816	555	124
817	555	123
818	556	123
819	557	122
820	557	121
821	559	121
822	559	120
823	560	119
824	560	118
825	561	118
826	561	117
827	562	116
828	563	116
829	563	115
830	564	114
831	565	114
832	565	113
833	566	112
834	566	112
835	567	111
836	568	110
837	568	109
838	569	109
839	570	108
840	570	107
841	571	107
842	572	106
843	573	105
844	574	105
845	574	104
846	575	103
847	576	103
848	577	102
849	577	101
850	578	101
851	578	100
852	579	99
853	580	99
854	580	98
855	581	97
856	581	97
857	582	96
858	583	95
859	583	95
860	584	94
861	585	93
862	585	92
863	586	92
864	587	91
865	587	90
866	588	90
867	589	89
868	589	88
869	590	88
870	591	87
871	591	86
872	592	86
873	592	85
874	593	84
875	593	84
876	594	83
877	595	82
878	595	82
879	596	81
880	596	80
881	597	79
882	598	79
883	598	78
884	599	77
885	599	77
886	600	76
887	601	75
888	602	75
889	602	74
890	603	73
891	603	73
892	604	72
893	605	71
894	605	71
895	606	70
896	606	69
897	607	69
898	608	68
899	608	67
900	609	66
901	609	66
902	610	65
903	611	64
904	611	64
905	612	63
906	612	62
907	613	62
908	614	61
909	614	60
910	615	60
911	615	59
912	616	58
913	617	58
914	617	57
915	618	56
916	619	56
917	620	55
918	620	54
919	621	54
920	621	53
921	622	52
922	623	52
923	623	51
924	624	50
925	625	49
926	625	49
927	626	48
928	627	47
929	627	47
930	628	46
931	628	45
932	629	45
933	629	44
934	630	43
935	631	43
936	631	42
937	632	41
938	633	41
939	633	40
940	634	39
941	634	39
942	635	38
943	636	37
944	636	37
945	637	36
946	637	35
947	638	35
948	639	34
949	639	33
950	640	32
951	641	32
952	641	31
953	642	30
954	642	30
955	643	29
956	644	28
957	644	28
958	645	27
959	645	26
960	646	26
961	647	25
962	647	24
963	648	24
964	649	23
965	649	22
966	650	22
967	650	21
968	651	20
969	652	20
970	653	19
971	653	18
972	654	18
973	655	17
974	655	16
975	656	16
976	656	15
977	657	14
978	658	14
979	658	13
980	659	12
981	659	12
982	660	11
983	661	10
984	661	10
985	662	9
986	663	8
987	663	8
988	664	7
989	665	6
990	665	6
991	666	5
992	667	4
993	667	4
994	668	3
995	669	2
996	669	2
997	670	1
998	671	0
999	671	0
